,Name,Global_Sales,NA_Sales,JP_Sales,Other_Sales,Critic_Score,Critic_Count,User_Score,User_Count,index,Year_of_Release,Genre,Publisher,Developer,Rating
2931,Red Ninja: End of Honor,0.06,0.03,0.0,0.01,46.5,42.0,4.5,12.0,13624,2005.0,Action,Vivendi Games,Opus,M
4008,Trapt,0.06,0.03,0.0,0.01,60.0,36.0,7.9,14.0,12628,2005.0,Action,Tecmo Koei,Paon Corporation,M
4354,Zone of the Enders: The Fist of Mars,0.06,0.04,0.0,0.0,71.0,12.0,9.0,9.0,12725,2001.0,Role-Playing,Konami Digital Entertainment,WinkySoft,E
4227,Wings of War,0.06,0.05,0.0,0.0,62.0,29.0,5.0,5.0,12283,2004.0,Simulation,Take-Two Interactive,Silver Wish Games,T
66,Age of Empires III: The Asian Dynasties,0.06,0.0,0.0,0.01,81.0,19.0,8.5,71.0,12293,2007.0,Strategy,Microsoft Game Studios,Big Huge Games,T
1764,Jurassic Park III: Park Builder,0.06,0.04,0.0,0.0,65.0,5.0,8.0,5.0,12410,2001.0,Simulation,Konami Digital Entertainment,Konami,E
3069,S.T.A.L.K.E.R.: Call of Pripyat,0.06,0.0,0.0,0.01,80.0,44.0,8.7,602.0,12573,2009.0,Shooter,Namco Bandai Games,GSC Game World,M
214,Atelier Iris 2: The Azoth Of Destiny,0.06,0.03,0.0,0.01,68.0,34.0,7.8,14.0,12435,2005.0,Role-Playing,Tecmo Koei,Gust,E10+
3071,S.T.A.L.K.E.R.: Shadow of Chernobyl,0.06,0.01,0.0,0.01,82.0,44.0,8.4,1088.0,12743,2007.0,Shooter,THQ,GSC Game World,M
67,Age of Empires Online,0.06,0.01,0.0,0.01,70.0,44.0,5.6,186.0,12433,2011.0,Strategy,Microsoft Game Studios,Gas Powered Games,E10+
4356,Zoo Tycoon 2,0.06,0.0,0.0,0.01,72.0,34.0,8.1,43.0,12685,2004.0,Strategy,Microsoft Game Studios,Blue Fang Games,E
4020,Tron 2.0: Killer App,0.06,0.04,0.0,0.0,69.0,36.0,4.3,4.0,12652,2004.0,Action,Disney Interactive Studios,Climax Group,T
3874,Theresia...,0.06,0.05,0.0,0.0,61.0,6.0,8.0,8.0,12639,2008.0,Adventure,Arc System Works,WorkJam,M
3872,Theme Park,0.06,0.0,0.03,0.0,72.0,15.0,7.6,14.0,12499,2007.0,Simulation,Electronic Arts,EA Japan Studio,E
472,Call of Cthulhu: Dark Corners of the Earth,0.06,0.05,0.0,0.0,77.0,51.0,8.1,37.0,12500,2005.0,Adventure,Take-Two Interactive,Headfirst Productions,M
1552,Gun Showdown,0.06,0.05,0.0,0.01,73.0,41.0,7.6,9.0,12730,2006.0,Action,Activision,"Rebellion, Neversoft Entertainment",M
2579,Nights of Azure,0.06,0.03,0.0,0.01,67.0,40.0,7.6,71.0,12431,2015.0,Action,Tecmo Koei,Gust,T
581,Coded Arms: Contagion,0.06,0.05,0.0,0.01,56.0,20.0,6.6,28.0,12570,2007.0,Shooter,Konami Digital Entertainment,Creat Studios,T
3923,Tom Clancy's Ghost Recon: Advanced Warfighter,0.06,0.03,0.0,0.01,44.0,8.0,4.6,41.0,12702,2006.0,Shooter,Ubisoft,Ubisoft Shanghai,T
405,Brave: A Warrior's Tale,0.06,0.05,0.0,0.0,42.0,17.0,5.0,4.0,12689,2009.0,Action,SouthPeak Games,Collision Studios,E10+
2836,Psycho-Pass: Mandatory Happiness,0.06,0.03,0.01,0.01,68.0,37.0,7.800000000000001,29.0,13777,2016.0,Adventure,Nippon Ichi Software,5pb,T
1364,From The Abyss,0.06,0.06,0.0,0.0,59.0,9.0,8.0,5.0,12452,2008.0,Role-Playing,Nobilis,Sonic Powered,E
105,Amazing Island,0.06,0.04,0.0,0.0,59.0,22.0,6.6,7.0,12848,2004.0,Strategy,Sega,Hitmaker,E
660,Criminal Girls: Invite Only,0.06,0.01,0.04,0.01,55.0,31.0,6.7,37.0,12312,2013.0,Role-Playing,Nippon Ichi Software,"Image Epoch, Imageepoch",M
417,Broken Sword: The Shadow of the Templars,0.06,0.04,0.0,0.0,80.0,17.0,7.8,10.0,12621,2002.0,Adventure,BAM! Entertainment,Revolution Software,T
661,Crimson Gem Saga,0.06,0.06,0.0,0.0,78.0,20.0,7.5,30.0,12359,2008.0,Role-Playing,Sega,"IronNos Co.,Ltd.",T
