Book_Name,author,Url,Average_Rating,Ratings_Count,Categories,Year_Published
About Alice,Calvin Trillin,http://books.google.com/books/content?id=DDdnpdsPpYIC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,4,26,Biography & Autobiography,2006-12-26
Alice,Christina Henry,http://books.google.com/books/content?id=Vs_sBAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,3.5,19,Fiction,2015-08-04
The Agony of Alice,Phyllis Reynolds Naylor,http://books.google.com/books/content?id=ktvrFIBXz08C&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,4,11,Juvenile Fiction,2012-05-15
Still Alice,Lisa Genova,http://books.google.com/books/content?id=oTDXqvxK5QEC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,4.5,18,Fiction,2010-08-05
Alice in Wonderland,Manhattan Project (Theatre Company),http://books.google.com/books/content?id=tO_J__DcamEC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,2,2,Fiction,1972
Daredevil,Antony Johnston,http://books.google.com/books/content?id=JnqPDwAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,2,1,Comics & Graphic Novels,2019-05-29
Spider-Man,Adam Troy Castro,http://books.google.com/books/content?id=J2K3ejhxZH8C&printsec=frontcover&img=1&zoom=5&source=gbs_api,5,1,Adventure stories,2002
Spider-Man,J.M. DeMatteis,http://books.google.com/books/content?id=7xqkDgAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,5,1,Comics & Graphic Novels,2017-06-28
Avengers Assemble Vol. 1,Kurt Busiek,http://books.google.com/books/content?id=4e2QM6QrepQC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,2.5,2,Comics & Graphic Novels,2011-01-12
Avengers,Kurt Busiek,http://books.google.com/books/content?id=T8bKAAAACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,5,1,Comics & Graphic Novels,2006-02-01
"The Maze Runner Movie Tie-In Edition (Maze Runner, Book One)",James Dashner,http://books.google.com/books/content?id=jcJWAAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,4,4,Young Adult Fiction,2014-08-05
The Maze Runner Files (Maze Runner),James Dashner,http://books.google.com/books/content?id=kHg4S2C0br8C&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,3.5,7,Young Adult Fiction,2013-08-13
The Kill Order,James Dashner,http://books.google.com/books/content?id=dZdGBAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,3.5,48,Juvenile Fiction,2013-12-05
"The Fever Code (Maze Runner, Book Five; Prequel)",James Dashner,http://books.google.com/books/content?id=q3MkCwAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,4,16,Young Adult Fiction,2016-09-27
The Maze Runner,James Dashner,http://books.google.com/books/content?id=yo5GBAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,3.5,445,Juvenile Fiction,2013-12-05
"The Death Cure Movie Tie-In Edition (Maze Runner, Book Three)",James Dashner,http://books.google.com/books/content?id=EpJADwAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,5,2,Young Adult Fiction,2017-12-26
The Death Cure,James Dashner,http://books.google.com/books/content?id=nXAlPwr75zIC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,3.5,114,Juvenile Fiction,2013
Sorcerer's Apprentice,Tahir Shah,http://books.google.com/books/content?id=0a1RgjBBNEcC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,4,4,Biography & Autobiography,2011-07
Sorcerer's Apprentice,Amy Wallace,http://books.google.com/books/content?id=W5ryUvXLxBMC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,2.5,2,"Body, Mind & Spirit",2013-07-30
